"gameId","season","week","homeTeamAbbr","visitorTeamAbbr","homeFinalScore","visitorFinalScore","gameDatetime"
2022090800,2022,1,"LA","BUF",10,31,2022-09-08 16:20:00
2022091100,2022,1,"ATL","NO",26,27,2022-09-11 09:00:00
2022091101,2022,1,"CAR","CLE",24,26,2022-09-11 09:00:00
2022091102,2022,1,"CHI","SF",19,10,2022-09-11 09:00:00
2022091103,2022,1,"CIN","PIT",20,23,2022-09-11 09:00:00
2022091104,2022,1,"DET","PHI",35,38,2022-09-11 09:00:00
2022091105,2022,1,"HOU","IND",20,20,2022-09-11 09:00:00
2022091106,2022,1,"MIA","NE",20,7,2022-09-11 09:00:00
2022091107,2022,1,"NYJ","BAL",9,24,2022-09-11 09:00:00
2022091109,2022,1,"WAS","JAX",28,22,2022-09-11 09:00:00
2022091110,2022,1,"ARI","KC",21,44,2022-09-11 12:25:00
2022091111,2022,1,"LAC","LV",24,19,2022-09-11 12:25:00
2022091112,2022,1,"MIN","GB",23,7,2022-09-11 12:25:00
2022091108,2022,1,"TEN","NYG",20,21,2022-09-11 12:25:00
2022091113,2022,1,"DAL","TB",3,19,2022-09-11 16:20:00
2022091200,2022,1,"SEA","DEN",17,16,2022-09-12 16:15:00
2022091500,2022,2,"KC","LAC",27,24,2022-09-15 16:15:00
2022091800,2022,2,"BAL","MIA",38,42,2022-09-18 09:00:00
2022091801,2022,2,"CLE","NYJ",30,31,2022-09-18 09:00:00
2022091802,2022,2,"DET","WAS",36,27,2022-09-18 09:00:00
2022091803,2022,2,"JAX","IND",24,0,2022-09-18 09:00:00
2022091804,2022,2,"NO","TB",10,20,2022-09-18 09:00:00
2022091805,2022,2,"NYG","CAR",19,16,2022-09-18 09:00:00
2022091806,2022,2,"PIT","NE",14,17,2022-09-18 09:00:00
2022091807,2022,2,"LA","ATL",31,27,2022-09-18 12:05:00
2022091808,2022,2,"SF","SEA",27,7,2022-09-18 12:05:00
2022091809,2022,2,"DAL","CIN",20,17,2022-09-18 12:25:00
2022091810,2022,2,"DEN","HOU",16,9,2022-09-18 12:25:00
2022091811,2022,2,"LV","ARI",23,29,2022-09-18 12:25:00
2022091812,2022,2,"GB","CHI",27,10,2022-09-18 16:20:00
2022091900,2022,2,"BUF","TEN",41,7,2022-09-19 15:15:00
