"nflId","height","weight","birthDate","collegeName","position","displayName"
25511,6.333,225,1977-08-02 20:00:00,"Michigan","QB","Tom Brady"
29550,6.333,328,1982-01-21 19:00:00,"Arkansas","T","Jason Peters"
29851,6.167,225,1983-12-01 19:00:00,"California","QB","Aaron Rodgers"
30842,6.5,267,1984-05-18 20:00:00,"UCLA","TE","Marcedes Lewis"
33084,6.333,217,1985-05-16 20:00:00,"Boston College","QB","Matt Ryan"
33099,6.5,245,1985-01-15 19:00:00,"Delaware","QB","Joe Flacco"
33107,6.333,315,1985-08-29 20:00:00,"Virginia Tech","T","Duane Brown"
33130,5.833,175,1986-11-30 19:00:00,"California","WR","DeSean Jackson"
33131,6.667,300,1986-08-31 20:00:00,"Miami","DE","Calais Campbell"
33138,6.25,222,1985-07-01 20:00:00,"Michigan","QB","Chad Henne"
34452,6.25,220,1988-02-06 19:00:00,"Georgia","QB","Matthew Stafford"
34754,6,229,1986-10-06 20:00:00,"Missouri","QB","Chase Daniel"
34843,6.167,215,1985-10-12 20:00:00,"Michigan State","QB","Brian Hoyer"
35443,6.417,320,1988-07-18 20:00:00,"Oklahoma","T","Trent Williams"
35449,6.25,304,1987-05-11 20:00:00,"California","NT","Tyson Alualu"
35452,6.167,265,1988-04-02 19:00:00,"Michigan","DE","Brandon Graham"
35454,6.417,275,1988-12-31 19:00:00,"South Florida","DE","Jason Pierre-Paul"
35459,5.833,185,1988-04-09 20:00:00,"Alabama","SS","Kareem Jackson"
35466,5.833,195,1987-08-12 20:00:00,"Rutgers","FS","Devin McCourty"
35470,6.167,254,1988-08-12 20:00:00,"Texas Christian","DE","Jerry Hughes"
35472,6.417,325,1988-06-05 20:00:00,"Indiana","G","Rodger Saffold"
35493,6.5,285,1989-02-27 19:00:00,"Florida","OLB","Carlos Dunlap"
35522,6.25,335,1988-06-07 20:00:00,"Kentucky","DT","Corey Peters"
35562,6.333,330,1987-03-24 19:00:00,"Louisiana State","NT","Al Woods"
36785,6.667,330,1985-10-26 20:00:00,"Texas State","T","Ty Nsekhe"
37075,6.25,250,1989-03-25 19:00:00,"Texas A&amp;M","OLB","Von Miller"
37077,6.333,210,1988-07-30 20:00:00,"Georgia","WR","A.J. Green"
37078,6.083,203,1990-07-10 20:00:00,"Louisiana State","CB","Patrick Peterson"
37079,6.25,220,1989-02-07 19:00:00,"Alabama","WR","Julio Jones"
37084,6.417,288,1989-03-21 19:00:00,"Wisconsin","DE","J.J. Watt"
37087,6.333,257,1990-05-17 20:00:00,"North Carolina","OLB","Robert Quinn"
37097,6.333,287,1989-07-09 20:00:00,"California","DE","Cameron Jordan"
37101,5.75,215,1989-12-20 19:00:00,"Alabama","RB","Mark Ingram"
37104,6.417,295,1989-05-05 20:00:00,"Ohio State","DT","Cameron Heyward"
37110,6.167,220,1987-10-28 19:00:00,"Texas Christian","QB","Andy Dalton"
37118,6.5,265,1989-11-08 19:00:00,"Notre Dame","TE","Kyle Rudolph"
37130,6.167,315,1989-07-11 20:00:00,"Florida State","C","Rodney Hudson"
37139,5.833,192,1990-08-21 20:00:00,"Kentucky","WR","Randall Cobb"
37145,6.25,270,1989-01-20 19:00:00,"Georgia","OLB","Justin Houston"
37213,6.5,335,1988-05-05 20:00:00,"Texas Christian","T","Marcus Cannon"
37255,6.083,215,1989-08-02 20:00:00,"Virginia Tech","QB","Tyrod Taylor"
